"uscode","naics","lfo","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","f1_4","e1_4nf","e1_4","q1_4nf","q1_4","a1_4nf","a1_4","n1_4","f5_9","e5_9nf","e5_9","q5_9nf","q5_9","a5_9nf","a5_9","n5_9","f10_19","e10_19nf","e10_19","q10_19nf","q10_19","a10_19nf","a10_19","n10_19","f20_49","e20_49nf","e20_49","q20_49nf","q20_49","a20_49nf","a20_49","n20_49","f50_99","e50_99nf","e50_99","q50_99nf","q50_99","a50_99nf","a50_99","n50_99","f100_249","e100_249nf","e100_249","q100_249nf","q100_249","a100_249nf","a100_249","n100_249","f250_499","e250_499nf","e250_499","q250_499nf","q250_499","a250_499nf","a250_499","n250_499","f500_999","e500_999nf","e500_999","q500_999nf","q500_999","a500_999nf","a500_999","n500_999","f1000","e1000nf","e1000","q1000nf","q1000","a1000nf","a1000","n1000"
"98","3122//","-",,"H",14599,"G",268783,"H",930355,114,"B","S",0,"G",409,"H",3178,34,"B","D",0,"D",0,"D",0,8,,"G",117,"G",997,"H",3746,8,,"G",739,"G",7755,"G",31812,23,,"H",765,"H",8384,"H",28582,10,,"G",2467,"G",43228,"G",152528,17,,"H",2756,"H",35317,"G",142272,8,"G","D",0,"D",0,"D",0,3,,"H",5194,"G",131464,"H",450883,3
"98","3122//","C",,"H",12408,"G",241395,"H",818975,48,"A","D",0,"D",0,"D",0,6,"B","D",0,"D",0,"D",0,3,"B","D",0,"D",0,"D",0,2,,"G",284,"G",3081,"G",12687,9,,"H",273,"H",3054,"H",8020,3,,"H",1894,"H",35539,"H",121209,13,"G","S",0,"H",26837,"H",107510,6,"G","D",0,"D",0,"D",0,3,,"H",5194,"G",131464,"H",450883,3
"98","3122//","Z",,"G",1196,"G",15930,"G",67813,38,"B","S",0,"H",202,"H",1124,18,"B","S",0,"H",152,"H",613,3,,"G",57,"G",379,"G",1491,4,"C","D",0,"D",0,"D",0,5,,"G",362,"H",4117,"H",15869,5,"E","D",0,"D",0,"D",0,2,"C","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","3122//","S",,"H",97,"H",684,"H",2547,6,"A","D",0,"D",0,"D",0,3,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,"B","D",0,"D",0,"D",0,1,"B","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","3122//","P",,"G",896,"G",10712,"G",40757,21,"A","D",0,"D",0,"D",0,6,"A","D",0,"D",0,"D",0,1,"B","D",0,"D",0,"D",0,2,,"H",230,"G",2893,"G",10870,8,"B","D",0,"D",0,"D",0,1,"E","D",0,"D",0,"D",0,2,"E","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","3122//","O","A","D",0,"D",0,"D",0,1,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31223/","-",,"H",14599,"G",268783,"H",930355,114,"B","S",0,"G",409,"H",3178,34,"B","D",0,"D",0,"D",0,8,,"G",117,"G",997,"H",3746,8,,"G",739,"G",7755,"G",31812,23,,"H",765,"H",8384,"H",28582,10,,"G",2467,"G",43228,"G",152528,17,,"H",2756,"H",35317,"G",142272,8,"G","D",0,"D",0,"D",0,3,,"H",5194,"G",131464,"H",450883,3
"98","31223/","C",,"H",12408,"G",241395,"H",818975,48,"A","D",0,"D",0,"D",0,6,"B","D",0,"D",0,"D",0,3,"B","D",0,"D",0,"D",0,2,,"G",284,"G",3081,"G",12687,9,,"H",273,"H",3054,"H",8020,3,,"H",1894,"H",35539,"H",121209,13,"G","S",0,"H",26837,"H",107510,6,"G","D",0,"D",0,"D",0,3,,"H",5194,"G",131464,"H",450883,3
"98","31223/","Z",,"G",1196,"G",15930,"G",67813,38,"B","S",0,"H",202,"H",1124,18,"B","S",0,"H",152,"H",613,3,,"G",57,"G",379,"G",1491,4,"C","D",0,"D",0,"D",0,5,,"G",362,"H",4117,"H",15869,5,"E","D",0,"D",0,"D",0,2,"C","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31223/","S",,"H",97,"H",684,"H",2547,6,"A","D",0,"D",0,"D",0,3,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,"B","D",0,"D",0,"D",0,1,"B","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
